SampleName	alias	design	species	url	type	project_id	paper
SRX24465200	NTERA_mRNA_Direct_rep2_fast5	ployA-tailed RNA from NTERA poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908796/NTERA_Direct_rep2.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465199	NTERA_mRNA_Direct_rep1_fast5	ployA-tailed RNA from NTERA poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908797/NTERA_Direct_rep1.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465196	HeLa_mRNA_Direct_rep3_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908800/HeLa_Direct_rep3.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465195	HeLa_mRNA_Direct_rep2_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908801/HeLa_Direct_rep2.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465194	HeLa_mRNA_Direct_rep1_fast5	ployA-tailed RNA from HeLa poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908802/HeLa_Direct_rep1.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465193	A549_mRNA_Direct_rep2_fast5	ployA-tailed RNA from A549 poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908803/A549_Direct_rep2.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
SRX24465192	A549_mRNA_Direct_rep1_fast5	ployA-tailed RNA from A549 poly-A selected RNA followed by Nanopore Direct RNA sequencing	Homo sapiens	https://sra-pub-src-2.s3.amazonaws.com/SRR28908804/A549_Direct_rep1.fast5.tar.gz.1	tar.gz	PRJNA1108269	https://pmc.ncbi.nlm.nih.gov/articles/PMC11100687
